"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:1901145","mesenchymal cell apoptotic process involved in nephron morphogenesis","BP",4,0,0,1,1
"GO:1901147","mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis","BP",2,0,0,1,1
"GO:1904672","regulation of somatic stem cell population maintenance","BP",5,0,0,1,1
"GO:1904673","negative regulation of somatic stem cell population maintenance","BP",4,0,0,1,1
"GO:2000592","regulation of metanephric DCT cell differentiation","BP",2,0,0,1,1
"GO:2000594","positive regulation of metanephric DCT cell differentiation","BP",2,0,0,1,1
"GO:2000595","regulation of optic nerve formation","BP",1,0,0,1,1
"GO:2000597","positive regulation of optic nerve formation","BP",1,0,0,1,1
"GO:0003322","pancreatic A cell development","BP",1,0,0,1,1
"GO:0009786","regulation of asymmetric cell division","BP",3,0,0,1,1
"GO:0021905","forebrain-midbrain boundary formation","BP",1,0,0,1,1
"GO:0021917","somatic motor neuron fate commitment","BP",1,0,0,1,1
"GO:0021918","regulation of transcription from RNA polymerase II promoter involved in somatic motor neuron fate commitment","BP",1,0,0,1,1
"GO:0014813","skeletal muscle satellite cell commitment","BP",1,0,0,1,1
"GO:0061083","regulation of protein refolding","BP",4,0,0,1,1
"GO:0061084","negative regulation of protein refolding","BP",4,0,0,1,1
"GO:1902605","heterotrimeric G-protein complex assembly","BP",1,0,0,1,1
"GO:1903333","negative regulation of protein folding","BP",5,0,0,1,1
"GO:0007387","anterior compartment pattern formation","BP",1,0,0,1,1
"GO:0007388","posterior compartment specification","BP",1,0,0,1,1
"GO:0044789","modulation by host of viral release from host cell","BP",4,0,0,1,1
"GO:0044791","positive regulation by host of viral release from host cell","BP",4,0,0,1,1
"GO:0019541","propionate metabolic process","BP",2,0,0,1,1
"GO:0019543","propionate catabolic process","BP",2,0,0,1,1
"GO:0046327","glycerol biosynthetic process from pyruvate","BP",2,0,0,1,1
"GO:0022027","interkinetic nuclear migration","BP",2,0,0,1,1
"GO:0006272","leading strand elongation","BP",3,0,0,1,1
"GO:0006287","base-excision repair, gap-filling","BP",5,0,0,1,1
"GO:0070987","error-free translesion synthesis","BP",16,0,0,1,1
"GO:1904896","ESCRT complex disassembly","BP",3,0,0,1,1
"GO:1904903","ESCRT III complex disassembly","BP",3,0,0,1,1
"GO:0034230","enkephalin processing","BP",1,0,0,1,1
"GO:0034231","islet amyloid polypeptide processing","BP",1,0,0,1,1
"GO:0002644","negative regulation of tolerance induction","BP",1,0,0,1,1
"GO:0060282","positive regulation of oocyte development","BP",3,0,0,1,1
"GO:1905881","positive regulation of oogenesis","BP",3,0,0,1,1
"GO:1901898","negative regulation of relaxation of cardiac muscle","BP",2,0,0,1,1
"GO:0086024","adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate","BP",1,0,0,1,1
"GO:0140200","adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate","BP",1,0,0,1,1
"GO:0010512","negative regulation of phosphatidylinositol biosynthetic process","BP",2,0,0,1,1
"GO:0035787","cell migration involved in kidney development","BP",4,0,0,1,1
"GO:0035788","cell migration involved in metanephros development","BP",4,0,0,1,1
"GO:0035789","metanephric mesenchymal cell migration","BP",4,0,0,1,1
"GO:0035793","positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway","BP",3,0,0,1,1
"GO:0060683","regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling","BP",1,0,0,1,1
"GO:0071072","negative regulation of phospholipid biosynthetic process","BP",2,0,0,1,1
"GO:1900238","regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway","BP",3,0,0,1,1
"GO:1990401","embryonic lung development","BP",1,0,0,1,1
"GO:2000589","regulation of metanephric mesenchymal cell migration","BP",4,0,0,1,1
"GO:2000591","positive regulation of metanephric mesenchymal cell migration","BP",3,0,0,1,1
"GO:0072209","metanephric mesangial cell differentiation","BP",2,0,0,1,1
"GO:0072254","metanephric glomerular mesangial cell differentiation","BP",2,0,0,1,1
"GO:0072255","metanephric glomerular mesangial cell development","BP",1,0,0,1,1
"GO:0090678","cell dedifferentiation involved in phenotypic switching","BP",1,0,0,1,1
"GO:1900241","positive regulation of phenotypic switching","BP",2,0,0,1,1
"GO:1905174","regulation of vascular smooth muscle cell dedifferentiation","BP",1,0,0,1,1
"GO:1905176","positive regulation of vascular smooth muscle cell dedifferentiation","BP",1,0,0,1,1
"GO:1990936","vascular smooth muscle cell dedifferentiation","BP",1,0,0,1,1
"GO:0035790","platelet-derived growth factor receptor-alpha signaling pathway","BP",5,0,0,1,1
"GO:0038086","VEGF-activated platelet-derived growth factor receptor signaling pathway","BP",3,0,0,1,1
"GO:0038091","positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway","BP",3,0,0,1,1
"GO:0072275","metanephric glomerulus morphogenesis","BP",3,0,0,1,1
"GO:0072276","metanephric glomerulus vasculature morphogenesis","BP",3,0,0,1,1
"GO:0072277","metanephric glomerular capillary formation","BP",3,0,0,1,1
"GO:0035441","cell migration involved in vasculogenesis","BP",2,0,0,1,1
"GO:0060978","angiogenesis involved in coronary vascular morphogenesis","BP",3,0,0,1,1
"GO:0060981","cell migration involved in coronary angiogenesis","BP",1,0,0,1,1
"GO:0006771","riboflavin metabolic process","BP",2,0,0,1,1
"GO:0030505","inorganic diphosphate transport","BP",1,0,0,1,1
"GO:0042726","flavin-containing compound metabolic process","BP",3,0,0,1,1
"GO:1990787","negative regulation of hh target transcription factor activity","BP",1,0,0,1,1
"GO:2000394","positive regulation of lamellipodium morphogenesis","BP",5,0,0,1,1
"GO:0015697","quaternary ammonium group transport","BP",6,0,0,1,1
"GO:0015838","amino-acid betaine transport","BP",3,0,0,1,1
"GO:0015879","carnitine transport","BP",3,0,0,1,1
"GO:0071279","cellular response to cobalt ion","BP",3,0,0,1,1
"GO:0070681","glutaminyl-tRNAGln biosynthesis via transamidation","BP",1,0,0,1,1
"GO:0016558","protein import into peroxisome matrix","BP",10,0,0,1,1
"GO:0060151","peroxisome localization","BP",2,0,0,1,1
"GO:0060152","microtubule-based peroxisome localization","BP",2,0,0,1,1
"GO:0016561","protein import into peroxisome matrix, translocation","BP",2,0,0,1,1
"GO:0016560","protein import into peroxisome matrix, docking","BP",3,0,0,1,1
"GO:0036250","peroxisome transport along microtubule","BP",1,0,0,1,1
"GO:0044721","protein import into peroxisome matrix, substrate release","BP",1,0,0,1,1
"GO:1901090","regulation of protein tetramerization","BP",2,0,0,1,1
"GO:1901091","negative regulation of protein tetramerization","BP",2,0,0,1,1
"GO:1901093","regulation of protein homotetramerization","BP",2,0,0,1,1
"GO:1901094","negative regulation of protein homotetramerization","BP",2,0,0,1,1
"GO:0032534","regulation of microvillus assembly","BP",6,0,0,1,1
"GO:0006003","fructose 2,6-bisphosphate metabolic process","BP",4,0,0,1,1
"GO:0032307","negative regulation of prostaglandin secretion","BP",1,0,0,1,1
"GO:1900139","negative regulation of arachidonic acid secretion","BP",1,0,0,1,1
"GO:0043456","regulation of pentose-phosphate shunt","BP",1,0,0,1,1
"GO:0002225","positive regulation of antimicrobial peptide production","BP",2,0,1,1,0.00244634625032492
"GO:0002760","positive regulation of antimicrobial humoral response","BP",2,0,1,1,0.00244634625032492
"GO:0002803","positive regulation of antibacterial peptide production","BP",2,0,1,1,0.00244634625032492
"GO:0019520","aldonic acid metabolic process","BP",1,0,0,1,1
"GO:0019521","D-gluconate metabolic process","BP",1,0,0,1,1
"GO:0046176","aldonic acid catabolic process","BP",1,0,0,1,1
"GO:0046177","D-gluconate catabolic process","BP",1,0,0,1,1
"GO:0019255","glucose 1-phosphate metabolic process","BP",2,0,0,1,1
"GO:0099040","ceramide translocation","BP",1,0,0,1,1
"GO:1901557","response to fenofibrate","BP",1,0,0,1,1
"GO:0061086","negative regulation of histone H3-K27 methylation","BP",3,0,0,1,1
"GO:0061087","positive regulation of histone H3-K27 methylation","BP",3,0,0,1,1
"GO:0061187","regulation of ribosomal DNA heterochromatin assembly","BP",1,0,0,1,1
"GO:0061188","negative regulation of ribosomal DNA heterochromatin assembly","BP",1,0,0,1,1
"GO:0045819","positive regulation of glycogen catabolic process","BP",1,0,0,1,1
"GO:0019606","2-oxobutyrate catabolic process","BP",1,0,0,1,1
"GO:0046361","2-oxobutyrate metabolic process","BP",1,0,0,1,1
"GO:0042628","mating plug formation","BP",1,0,0,1,1
"GO:0061108","seminal vesicle epithelium development","BP",1,0,0,1,1
"GO:0033668","negative regulation by symbiont of host apoptotic process","BP",4,0,0,1,1
"GO:0052041","negative regulation by symbiont of host programmed cell death","BP",4,0,0,1,1
"GO:1902173","negative regulation of keratinocyte apoptotic process","BP",1,0,0,1,1
"GO:0016254","preassembly of GPI anchor in ER membrane","BP",8,0,0,1,1
"GO:0002386","immune response in mucosal-associated lymphoid tissue","BP",1,0,0,1,1
"GO:0002415","immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor","BP",1,0,0,1,1
"GO:0030242","autophagy of peroxisome","BP",2,0,0,1,1
"GO:1905062","positive regulation of cardioblast proliferation","BP",1,0,0,1,1
"GO:0035747","natural killer cell chemotaxis","BP",9,0,0,1,1
"GO:0046786","viral replication complex formation and maintenance","BP",1,0,0,1,1
"GO:2000786","positive regulation of autophagosome assembly","BP",5,0,0,1,1
"GO:0014707","branchiomeric skeletal muscle development","BP",3,0,0,1,1
"GO:0035993","deltoid tuberosity development","BP",2,0,0,1,1
"GO:0060127","prolactin secreting cell differentiation","BP",1,0,0,1,1
"GO:0033278","cell proliferation in midbrain","BP",7,0,0,1,1
"GO:1904933","regulation of cell proliferation in midbrain","BP",2,0,0,1,1
"GO:1904935","positive regulation of cell proliferation in midbrain","BP",1,0,0,1,1
"GO:1990790","response to glial cell derived neurotrophic factor","BP",1,0,0,1,1
"GO:1990792","cellular response to glial cell derived neurotrophic factor","BP",1,0,0,1,1
"GO:0072021","ascending thin limb development","BP",4,0,0,1,1
"GO:0072156","distal tubule morphogenesis","BP",1,0,0,1,1
"GO:0072218","metanephric ascending thin limb development","BP",4,0,0,1,1
"GO:0072236","metanephric loop of Henle development","BP",5,0,0,1,1
"GO:0072287","metanephric distal tubule morphogenesis","BP",1,0,0,1,1
"GO:0003127","detection of nodal flow","BP",1,0,0,1,1
"GO:0061441","renal artery morphogenesis","BP",2,0,0,1,1
"GO:0071464","cellular response to hydrostatic pressure","BP",1,0,0,1,1
"GO:0071910","determination of liver left/right asymmetry","BP",2,0,0,1,1
"GO:0072055","renal cortex development","BP",1,0,0,1,1
"GO:0072059","cortical collecting duct development","BP",1,0,0,1,1
"GO:0072194","kidney smooth muscle tissue development","BP",2,0,0,1,1
"GO:0072208","metanephric smooth muscle tissue development","BP",1,0,0,1,1
"GO:0072214","metanephric cortex development","BP",1,0,0,1,1
"GO:0072219","metanephric cortical collecting duct development","BP",1,0,0,1,1
"GO:0048496","maintenance of animal organ identity","BP",3,0,0,1,1
"GO:0036148","phosphatidylglycerol acyl-chain remodeling","BP",6,0,0,1,1
"GO:0006663","platelet activating factor biosynthetic process","BP",2,0,0,1,1
"GO:0038195","urokinase plasminogen activator signaling pathway","BP",1,0,0,1,1
"GO:0032237","activation of store-operated calcium channel activity","BP",2,0,0,1,1
"GO:1901339","regulation of store-operated calcium channel activity","BP",4,0,0,1,1
"GO:1901341","positive regulation of store-operated calcium channel activity","BP",3,0,0,1,1
"GO:0010920","negative regulation of inositol phosphate biosynthetic process","BP",1,0,0,1,1
"GO:0010924","regulation of inositol-polyphosphate 5-phosphatase activity","BP",1,0,0,1,1
"GO:0010925","positive regulation of inositol-polyphosphate 5-phosphatase activity","BP",1,0,0,1,1
"GO:0030845","phospholipase C-inhibiting G protein-coupled receptor signaling pathway","BP",1,0,0,1,1
"GO:0060305","regulation of cell diameter","BP",1,0,0,1,1
"GO:0086092","regulation of the force of heart contraction by cardiac conduction","BP",2,0,0,1,1
"GO:0090281","negative regulation of calcium ion import","BP",6,0,0,1,1
"GO:1901876","regulation of calcium ion binding","BP",2,0,0,1,1
"GO:1901877","negative regulation of calcium ion binding","BP",2,0,0,1,1
"GO:1901895","negative regulation of ATPase-coupled calcium transmembrane transporter activity","BP",1,0,0,1,1
"GO:1902081","negative regulation of calcium ion import into sarcoplasmic reticulum","BP",1,0,0,1,1
"GO:0046946","hydroxylysine metabolic process","BP",3,0,0,1,1
"GO:0046947","hydroxylysine biosynthetic process","BP",3,0,0,1,1
"GO:0001951","intestinal D-glucose absorption","BP",3,0,0,1,1
"GO:0106001","intestinal hexose absorption","BP",6,0,0,1,1
"GO:1902896","terminal web assembly","BP",3,0,0,1,1
"GO:0006659","phosphatidylserine biosynthetic process","BP",2,0,0,1,1
"GO:0010189","vitamin E biosynthetic process","BP",1,0,0,1,1
"GO:0042360","vitamin E metabolic process","BP",3,0,0,1,1
"GO:0021934","hindbrain tangential cell migration","BP",2,0,0,1,1
"GO:0021935","cerebellar granule cell precursor tangential migration","BP",1,0,0,1,1
"GO:2001206","positive regulation of osteoclast development","BP",3,0,0,1,1
"GO:0034757","negative regulation of iron ion transport","BP",1,0,0,1,1
"GO:0034760","negative regulation of iron ion transmembrane transport","BP",1,0,0,1,1
"GO:0042414","epinephrine metabolic process","BP",3,0,0,1,1
"GO:0008298","intracellular mRNA localization","BP",5,0,0,1,1
"GO:0016076","snRNA catabolic process","BP",1,0,0,1,1
"GO:0016077","snoRNA catabolic process","BP",1,0,0,1,1
"GO:0042868","antisense RNA metabolic process","BP",1,0,0,1,1
"GO:0071030","nuclear mRNA surveillance of spliceosomal pre-mRNA splicing","BP",2,0,0,1,1
"GO:0071033","nuclear retention of pre-mRNA at the site of transcription","BP",2,0,0,1,1
"GO:0071034","CUT catabolic process","BP",1,0,0,1,1
"GO:0071036","nuclear polyadenylation-dependent snoRNA catabolic process","BP",1,0,0,1,1
"GO:0071037","nuclear polyadenylation-dependent snRNA catabolic process","BP",1,0,0,1,1
"GO:0071039","nuclear polyadenylation-dependent CUT catabolic process","BP",1,0,0,1,1
"GO:0071040","nuclear polyadenylation-dependent antisense transcript catabolic process","BP",1,0,0,1,1
"GO:0071041","antisense RNA transcript catabolic process","BP",1,0,0,1,1
"GO:0071043","CUT metabolic process","BP",1,0,0,1,1
"GO:0071048","nuclear retention of unspliced pre-mRNA at the site of transcription","BP",2,0,0,1,1
"GO:0032929","negative regulation of superoxide anion generation","BP",2,0,0,1,1
"GO:0015680","protein maturation by copper ion transfer","BP",2,0,0,1,1
"GO:0042418","epinephrine biosynthetic process","BP",2,0,0,1,1
"GO:0016080","synaptic vesicle targeting","BP",2,0,0,1,1
"GO:0030382","sperm mitochondrion organization","BP",2,0,0,1,1
"GO:0006269","DNA replication, synthesis of RNA primer","BP",3,0,0,1,1
"GO:0071707","immunoglobulin heavy chain V-D-J recombination","BP",1,0,0,1,1
"GO:0045004","DNA replication proofreading","BP",2,0,0,1,1
"GO:0001172","transcription, RNA-templated","BP",3,0,0,1,1
"GO:0031990","mRNA export from nucleus in response to heat stress","BP",2,0,0,1,1
"GO:0034402","recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex","BP",1,0,0,1,1
"GO:0001192","maintenance of transcriptional fidelity during DNA-templated transcription elongation","BP",1,0,0,1,1
"GO:0001193","maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter","BP",1,0,0,1,1
"GO:0006391","transcription initiation from mitochondrial promoter","BP",2,0,0,1,1
"GO:0042126","nitrate metabolic process","BP",2,0,0,1,1
"GO:0043602","nitrate catabolic process","BP",1,0,0,1,1
"GO:0046210","nitric oxide catabolic process","BP",1,0,0,1,1
"GO:0090031","positive regulation of steroid hormone biosynthetic process","BP",2,0,0,1,1
"GO:0002380","immunoglobulin secretion involved in immune response","BP",1,0,0,1,1
"GO:0021985","neurohypophysis development","BP",1,0,0,1,1
"GO:0072023","thick ascending limb development","BP",2,0,0,1,1
"GO:0072024","macula densa development","BP",1,0,0,1,1
"GO:0072051","juxtaglomerular apparatus development","BP",1,0,0,1,1
"GO:0072206","metanephric juxtaglomerular apparatus development","BP",1,0,0,1,1
"GO:0072227","metanephric macula densa development","BP",1,0,0,1,1
"GO:0072233","metanephric thick ascending limb development","BP",2,0,0,1,1
"GO:0051355","proprioception involved in equilibrioception","BP",1,0,0,1,1
"GO:2001207","regulation of transcription elongation from RNA polymerase I promoter","BP",1,0,0,1,1
"GO:2001208","negative regulation of transcription elongation by RNA polymerase I","BP",1,0,0,1,1
"GO:0061076","negative regulation of neural retina development","BP",1,0,0,1,1
"GO:0090259","regulation of retinal ganglion cell axon guidance","BP",5,0,0,1,1
"GO:1902867","negative regulation of retina development in camera-type eye","BP",1,0,0,1,1
"GO:1902870","negative regulation of amacrine cell differentiation","BP",1,0,0,1,1
"GO:1904178","negative regulation of adipose tissue development","BP",2,0,0,1,1
"GO:0007064","mitotic sister chromatid cohesion","BP",7,0,0,1,1
"GO:0034086","maintenance of sister chromatid cohesion","BP",5,0,0,1,1
"GO:0034088","maintenance of mitotic sister chromatid cohesion","BP",5,0,0,1,1
"GO:0034091","regulation of maintenance of sister chromatid cohesion","BP",4,0,0,1,1
"GO:0034092","negative regulation of maintenance of sister chromatid cohesion","BP",3,0,0,1,1
"GO:0034182","regulation of maintenance of mitotic sister chromatid cohesion","BP",4,0,0,1,1
"GO:0034183","negative regulation of maintenance of mitotic sister chromatid cohesion","BP",3,0,0,1,1
"GO:0035120","post-embryonic appendage morphogenesis","BP",1,0,0,1,1
"GO:0035127","post-embryonic limb morphogenesis","BP",1,0,0,1,1
"GO:0035128","post-embryonic forelimb morphogenesis","BP",1,0,0,1,1
"GO:0045875","negative regulation of sister chromatid cohesion","BP",4,0,0,1,1
"GO:0097393","telomeric repeat-containing RNA transcription","BP",1,0,0,1,1
"GO:0097394","telomeric repeat-containing RNA transcription by RNA polymerase II","BP",1,0,0,1,1
"GO:0099403","maintenance of mitotic sister chromatid cohesion, telomeric","BP",2,0,0,1,1
"GO:0099404","mitotic sister chromatid cohesion, telomeric","BP",2,0,0,1,1
"GO:1901580","regulation of telomeric RNA transcription from RNA pol II promoter","BP",1,0,0,1,1
"GO:1901581","negative regulation of telomeric RNA transcription from RNA pol II promoter","BP",1,0,0,1,1
"GO:1901582","positive regulation of telomeric RNA transcription from RNA pol II promoter","BP",1,0,0,1,1
"GO:1904907","regulation of maintenance of mitotic sister chromatid cohesion, telomeric","BP",2,0,0,1,1
"GO:1904908","negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric","BP",2,0,0,1,1
"GO:0001714","endodermal cell fate specification","BP",4,0,0,1,1
"GO:0071344","diphosphate metabolic process","BP",1,0,0,1,1
"GO:0010891","negative regulation of sequestering of triglyceride","BP",2,0,0,1,1
"GO:0006776","vitamin A metabolic process","BP",7,0,0,1,1
"GO:2000230","negative regulation of pancreatic stellate cell proliferation","BP",1,0,0,1,1
"GO:0002154","thyroid hormone mediated signaling pathway","BP",5,0,0,1,1
"GO:1904715","negative regulation of chaperone-mediated autophagy","BP",3,0,0,1,1
"GO:0019061","uncoating of virus","BP",1,0,0,1,1
"GO:0036496","regulation of translational initiation by eIF2 alpha dephosphorylation","BP",1,0,0,1,1
"GO:0006772","thiamine metabolic process","BP",2,0,0,1,1
"GO:0060168","positive regulation of adenosine receptor signaling pathway","BP",2,0,0,1,1
"GO:0007621","negative regulation of female receptivity","BP",3,0,0,1,1
"GO:0032847","regulation of cellular pH reduction","BP",5,0,0,1,1
"GO:0032849","positive regulation of cellular pH reduction","BP",4,0,0,1,1
"GO:1904289","regulation of mitotic DNA damage checkpoint","BP",1,0,0,1,1
"GO:1904290","negative regulation of mitotic DNA damage checkpoint","BP",1,0,0,1,1
"GO:0045144","meiotic sister chromatid segregation","BP",4,0,0,1,1
"GO:0051177","meiotic sister chromatid cohesion","BP",4,0,0,1,1
"GO:0051232","meiotic spindle elongation","BP",1,0,0,1,1
"GO:0051754","meiotic sister chromatid cohesion, centromeric","BP",3,0,0,1,1
"GO:1903537","meiotic cell cycle process involved in oocyte maturation","BP",1,0,0,1,1
"GO:1903538","regulation of meiotic cell cycle process involved in oocyte maturation","BP",1,0,0,1,1
"GO:0090219","negative regulation of lipid kinase activity","BP",2,0,0,1,1
"GO:0010615","positive regulation of cardiac muscle adaptation","BP",2,0,0,1,1
"GO:1903244","positive regulation of cardiac muscle hypertrophy in response to stress","BP",2,0,0,1,1
"GO:1905205","positive regulation of connective tissue replacement","BP",3,0,0,1,1
"GO:1904550","response to arachidonic acid","BP",1,0,0,1,1
"GO:2000324","positive regulation of glucocorticoid receptor signaling pathway","BP",1,0,0,1,1
"GO:0048549","positive regulation of pinocytosis","BP",3,0,0,1,1
"GO:0002155","regulation of thyroid hormone mediated signaling pathway","BP",3,0,0,1,1
"GO:0002357","defense response to tumor cell","BP",1,0,0,1,1
"GO:0033367","protein localization to mast cell secretory granule","BP",1,0,0,1,1
"GO:0033368","protease localization to mast cell secretory granule","BP",1,0,0,1,1
"GO:0033370","maintenance of protein location in mast cell secretory granule","BP",1,0,0,1,1
"GO:0033371","T cell secretory granule organization","BP",1,0,0,1,1
"GO:0033373","maintenance of protease location in mast cell secretory granule","BP",1,0,0,1,1
"GO:0033374","protein localization to T cell secretory granule","BP",1,0,0,1,1
"GO:0033375","protease localization to T cell secretory granule","BP",1,0,0,1,1
"GO:0033377","maintenance of protein location in T cell secretory granule","BP",1,0,0,1,1
"GO:0033379","maintenance of protease location in T cell secretory granule","BP",1,0,0,1,1
"GO:0033380","granzyme B localization to T cell secretory granule","BP",1,0,0,1,1
"GO:0033382","maintenance of granzyme B location in T cell secretory granule","BP",1,0,0,1,1
"GO:0006679","glucosylceramide biosynthetic process","BP",2,0,0,1,1
"GO:0009631","cold acclimation","BP",1,0,0,1,1
"GO:0046317","regulation of glucosylceramide biosynthetic process","BP",1,0,0,1,1
"GO:0046318","negative regulation of glucosylceramide biosynthetic process","BP",1,0,0,1,1
"GO:0046476","glycosylceramide biosynthetic process","BP",7,0,0,1,1
"GO:0090155","negative regulation of sphingolipid biosynthetic process","BP",2,0,0,1,1
"GO:1900060","negative regulation of ceramide biosynthetic process","BP",2,0,0,1,1
"GO:1901563","response to camptothecin","BP",4,0,0,1,1
"GO:1903108","regulation of mitochondrial transcription","BP",1,0,0,1,1
"GO:1903109","positive regulation of mitochondrial transcription","BP",1,0,0,1,1
"GO:1901620","regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning","BP",3,0,0,1,1
"GO:1901621","negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning","BP",3,0,0,1,1
"GO:0097332","response to antipsychotic drug","BP",3,0,0,1,1
"GO:0097338","response to clozapine","BP",2,0,0,1,1
"GO:0035408","histone H3-T6 phosphorylation","BP",2,0,0,1,1
"GO:0050861","positive regulation of B cell receptor signaling pathway","BP",3,0,0,1,1
"GO:0006685","sphingomyelin catabolic process","BP",3,0,0,1,1
"GO:0051490","negative regulation of filopodium assembly","BP",3,0,0,1,1
"GO:0110113","positive regulation of lipid transporter activity","BP",1,0,0,1,1
"GO:1900161","regulation of phospholipid scramblase activity","BP",1,0,0,1,1
"GO:1900163","positive regulation of phospholipid scramblase activity","BP",1,0,0,1,1
"GO:2000752","regulation of glucosylceramide catabolic process","BP",1,0,0,1,1
"GO:2000753","positive regulation of glucosylceramide catabolic process","BP",1,0,0,1,1
"GO:2000754","regulation of sphingomyelin catabolic process","BP",1,0,0,1,1
"GO:2000755","positive regulation of sphingomyelin catabolic process","BP",1,0,0,1,1
"GO:0035668","TRAM-dependent toll-like receptor signaling pathway","BP",1,0,0,1,1
"GO:0035669","TRAM-dependent toll-like receptor 4 signaling pathway","BP",1,0,0,1,1
"GO:2001029","regulation of cellular glucuronidation","BP",1,0,0,1,1
"GO:2001031","positive regulation of cellular glucuronidation","BP",1,0,0,1,1
"GO:0089700","protein kinase D signaling","BP",2,0,0,1,1
"GO:1901725","regulation of histone deacetylase activity","BP",4,0,0,1,1
"GO:1901727","positive regulation of histone deacetylase activity","BP",2,0,0,1,1
"GO:0035712","T-helper 2 cell activation","BP",2,0,0,1,1
"GO:2000569","regulation of T-helper 2 cell activation","BP",1,0,0,1,1
"GO:2000570","positive regulation of T-helper 2 cell activation","BP",1,0,0,1,1
"GO:0002326","B cell lineage commitment","BP",5,0,0,1,1
"GO:2001229","negative regulation of response to gamma radiation","BP",1,0,0,1,1
"GO:0019858","cytosine metabolic process","BP",2,0,0,1,1
"GO:0090170","regulation of Golgi inheritance","BP",4,0,0,1,1
"GO:2000656","regulation of apolipoprotein binding","BP",1,0,0,1,1
"GO:2000657","negative regulation of apolipoprotein binding","BP",1,0,0,1,1
"GO:0007258","JUN phosphorylation","BP",4,0,0,1,1
"GO:1902595","regulation of DNA replication origin binding","BP",1,0,0,1,1
"GO:0061833","protein localization to tricellular tight junction","BP",1,0,0,1,1
"GO:1901483","regulation of transcription factor catabolic process","BP",1,0,0,1,1
"GO:1901485","positive regulation of transcription factor catabolic process","BP",1,0,0,1,1
"GO:0072709","cellular response to sorbitol","BP",3,0,0,1,1
"GO:0072740","cellular response to anisomycin","BP",1,0,0,1,1
"GO:2000342","negative regulation of chemokine (C-X-C motif) ligand 2 production","BP",2,0,0,1,1
"GO:0030683","mitigation of host immune response by virus","BP",1,0,0,1,1
"GO:0032058","positive regulation of translational initiation in response to stress","BP",1,0,0,1,1
"GO:0036494","positive regulation of translation initiation in response to endoplasmic reticulum stress","BP",1,0,0,1,1
"GO:1903489","positive regulation of lactation","BP",2,0,0,1,1
"GO:0038161","prolactin signaling pathway","BP",1,0,0,1,1
"GO:0010133","proline catabolic process to glutamate","BP",2,0,0,1,1
"GO:0048850","hypophysis morphogenesis","BP",2,0,0,1,1
"GO:0002194","hepatocyte cell migration","BP",1,0,0,1,1
"GO:0030910","olfactory placode formation","BP",2,0,0,1,1
"GO:0043049","otic placode formation","BP",1,0,0,1,1
"GO:0060214","endocardium formation","BP",1,0,0,1,1
"GO:0060849","regulation of transcription involved in lymphatic endothelial cell fate commitment","BP",2,0,0,1,1
"GO:0061114","branching involved in pancreas morphogenesis","BP",1,0,0,1,1
"GO:0070858","negative regulation of bile acid biosynthetic process","BP",3,0,0,1,1
"GO:0071698","olfactory placode development","BP",2,0,0,1,1
"GO:0071699","olfactory placode morphogenesis","BP",2,0,0,1,1
"GO:0090425","acinar cell differentiation","BP",1,0,0,1,1
"GO:1904252","negative regulation of bile acid metabolic process","BP",3,0,0,1,1
"GO:2000979","positive regulation of forebrain neuron differentiation","BP",1,0,0,1,1
"GO:0006015","5-phosphoribose 1-diphosphate biosynthetic process","BP",5,0,0,1,1
"GO:0046391","5-phosphoribose 1-diphosphate metabolic process","BP",5,0,0,1,1
"GO:0006624","vacuolar protein processing","BP",1,0,0,1,1
"GO:0097264","self proteolysis","BP",3,0,0,1,1
"GO:0021800","cerebral cortex tangential migration","BP",3,0,0,1,1
"GO:1902076","regulation of lateral motor column neuron migration","BP",1,0,0,1,1
"GO:1902078","positive regulation of lateral motor column neuron migration","BP",1,0,0,1,1
"GO:1905483","regulation of motor neuron migration","BP",1,0,0,1,1
"GO:1905485","positive regulation of motor neuron migration","BP",1,0,0,1,1
"GO:0032603","fractalkine production","BP",2,0,0,1,1
"GO:0032644","regulation of fractalkine production","BP",2,0,0,1,1
"GO:0032724","positive regulation of fractalkine production","BP",2,0,0,1,1
"GO:0050751","fractalkine biosynthetic process","BP",2,0,0,1,1
"GO:0050752","regulation of fractalkine biosynthetic process","BP",2,0,0,1,1
"GO:0050754","positive regulation of fractalkine biosynthetic process","BP",2,0,0,1,1
"GO:0050756","fractalkine metabolic process","BP",2,0,0,1,1
"GO:1905572","ganglioside GM1 transport to membrane","BP",1,0,0,1,1
